"idx","MMM","ABT","ACE","ACT"
"1995-01-04",-1.159950098865714,0.0,1.1009159662737078,-10.248451025515104
"1995-01-05",0.0,-0.684933563886625,-0.5444624014002253,3.806229770543035
"1995-01-06",-0.4941351157155549,-1.609191908747576,-2.189778490841854,-1.0833292612878465
"1995-01-09",0.0,-0.23364662037275163,0.0,0.0
"1995-01-10",0.0,-1.639344070372728,0.0,-9.435555972915012
"1995-01-11",-0.24829124610705744,0.0,0.0,-2.3255816483066183
"1995-01-12",-1.8668346902709243,0.9523765150652119,-1.1194074817058142,5.333329232631856
"1995-01-13",0.0,0.23584768412852064,-0.5660419115975812,-0.5424931622603713
"1995-01-16",2.4096335675108715,1.176466565136014,0.0,5.636365894299256
"1995-01-17",-0.2476827588277719,0.9302299932200775,-1.1385192530273924,-2.0654022494224877
"1995-01-18",0.0,-1.1520722329597999,0.5758114576849716,-1.142355004066331
"1995-01-19",-1.1793900247018763,0.6993037891486864,-0.9541983588693403,2.222221535414093
"1995-01-20",0.7537666254083808,0.0,0.3853606119314623,0.0
"1995-01-23",-0.24937853380674335,2.314815445730134,0.5758114576849716,-3.304343325216752
"1995-01-24",-1.1875028637442497,0.9049804085305313,4.007632512118309,1.169060718840731
"1995-01-25",-0.5060054573162942,1.1210774989553807,1.6513769514572507,11.644440828322988
"1995-01-26",1.4621767309246358,-0.8869135109905946,2.5270725340872824,0.4777074009439275
"1995-01-27",-1.691726838397467,3.131986061610914,-0.5281702500508079,1.5055509336662887
"1995-01-30",0.5098754633066749,0.6507582901220221,1.0619490745196636,-1.4832202966418628
"1995-01-31",0.7609405489807708,2.5862066908494796,1.0507924511987676,-1.9017442597074496
"1995-02-01",-2.6431702519970734,-0.42016482726321414,0.5199269534191364,0.4846506504118331
"1995-02-02",0.45249066121950676,-1.4767967932012738,0.0,1.4469484011120581
"1995-02-03",0.25740070824766814,-0.21413041302884572,0.0,1.0301094709592507
"1995-02-06",1.7329950955784268,2.789703344711647,0.5172431071989836,0.0
"1995-02-07",-0.252361032799997,0.4175392763630992,3.4305306591516427,-1.0196064087759527
"1995-02-08",0.0,-2.0790044203574,-0.8291831541658912,2.0602255888015897
"1995-02-09",0.6957592360398168,0.0,1.3377893873041113,-1.0093119125379357
"1995-02-10",0.7537666254083808,-0.8492532963285893,-0.825087314851658,1.019602885926174
"1995-02-13",0.4364095047955763,0.0,-2.495835882611841,4.347824582386517
"1995-02-14",-0.24829124610705744,-0.21413041302884572,-1.0238921670311152,4.836310486669659
"1995-02-15",1.4312354858014409,0.0,2.0689623180386585,-1.4904216100269707
"1995-02-16",0.0,0.0,-1.0135090287333504,1.7291089693912465
"1995-02-17",-1.4723927075873444,-0.42918635164864716,0.0,-3.470256274495709
"1995-02-21",0.7471976939739111,-1.0775820357626364,0.0,0.8804130369999275
"1995-02-22",1.174291294489116,1.742914546165597,0.0,-0.8727294134660446
"1995-02-23",0.42761166067415424,1.9271952111861168,-0.5119450714912488,-2.7879683719018056
"1995-02-24",1.3990260405418065,1.0504185639583996,0.0,-0.9811351533456025
"1995-02-27",0.0,-1.6632034712389165,-1.0291575559072452,0.0
"1995-02-28",0.4799078868312323,1.0570780059679707,0.5199269534191364,-1.600611856197165
"1995-03-01",0.2388046852507486,-0.41841220674115887,-2.0689670039016894,-1.2393460573974724
"1995-03-02",-1.3698608307832871,-0.6302555052988157,-1.0563411124941968,7.372552488179052
"1995-03-03",0.48309315039740675,0.6342529192398416,0.0,4.0905804554141945
"1995-03-06",-0.961537380856825,-0.6302555052988157,0.0,0.42105395174423244
"1995-03-07",0.0,-1.268495899712918,-0.35587525763022265,-2.166320787257703
"1995-03-08",-0.24271496973223838,0.4282644422714865,-1.0714288700037988,-2.642858709643414
"1995-03-09",3.041362572055273,0.0,0.5415209528412346,0.0
"1995-03-10",1.3577346268027313,1.9189802103210862,0.0,-0.5135766622129889
"1995-03-13",-0.40768669217723374,2.3012596307761424,0.5385952371508962,-1.4011807891107786
"1995-03-14",3.0994118125875714,2.862987678055595,-2.142857457841729,6.133133875658703
"1995-03-15",-1.7016456427473736,-1.789269038083896,0.0,-0.4933092136095274
"1995-03-16",0.1731096620807504,0.40485734203350443,2.1897813508283903,0.9206824450688655
"1995-03-17",0.6912481670747317,0.0,0.892852358795837,-2.1754384612701294
"1995-03-20",1.086954893813008,2.4193527029021222,0.0,6.456237583086488
"1995-03-21",-0.22637338810528318,0.0,-0.5309753160981368,1.0781708191063055
"1995-03-22",-1.5314816936886078,0.5905468934078284,-0.35587525763022265,3.3333309749576268
"1995-03-23",0.23041504840979332,0.0,0.3571462527774072,0.0
"1995-03-24",2.8735625367273254,-0.5870799112302372,1.067618808897297,0.0
"1995-03-27",-0.22345995567231158,-0.39370294975307196,2.640848392974382,3.9999986320587544
"1995-03-28",-1.2877960221160945,-0.5928854562398556,-1.5437402611060858,2.3573156131336592
"1995-03-29",0.6239384369418621,-1.789269038083896,5.052264765541059,-1.5151542598465517
"1995-03-30",0.9019129437518147,-0.6072885036112585,0.4975135089004823,-5.35384192332875
"1995-03-31",-0.67039277380051,-2.036664022750778,-1.9802012832075833,-4.0962306628600675
"1995-04-03",-1.0686192586874088,1.6631996940758675,3.0303068270026268,-1.694911974848412
"1995-04-04",1.307564832946273,3.067486868581981,0.9803946868896851,3.6551771468589678
"1995-04-05",-1.2906882473213366,0.7936528592036751,2.912620753846862,-0.19960053266735445
"1995-04-06",1.0801620786852872,0.9842522116449759,-2.830188107650533,-2.0666655975848602
